year_month,month_of_release,passenger_type,direction,sex,age,estimate
2001-02,2020-09,Long-term migrant,Net,Male,0-4 years,-90
2001-02,2020-09,Long-term migrant,Net,Female,10-14 years,18
2001-02,2020-09,Long-term migrant,Net,Male,10-14 years,73
2001-02,2020-09,Long-term migrant,Net,Female,15-19 years,511
2001-02,2020-09,Long-term migrant,Net,Male,15-19 years,675
2001-02,2020-09,Long-term migrant,Net,Female,20-24 years,111
2001-02,2020-09,Long-term migrant,Net,Male,20-24 years,191
2001-02,2020-09,Long-term migrant,Net,Female,25-29 years,-16
2001-02,2020-09,Long-term migrant,Net,Male,25-29 years,20
2001-02,2020-09,Long-term migrant,Net,Female,30-34 years,25
2001-02,2020-09,Long-term migrant,Net,Male,30-34 years,-17
2001-02,2020-09,Long-term migrant,Net,Female,35-39 years,-19
2001-02,2020-09,Long-term migrant,Net,Male,35-39 years,-18
2001-02,2020-09,Long-term migrant,Net,Female,40-44 years,9
2001-02,2020-09,Long-term migrant,Net,Male,40-44 years,-57
2001-02,2020-09,Long-term migrant,Net,Female,45-49 years,-31
2001-02,2020-09,Long-term migrant,Net,Male,45-49 years,-40
2001-02,2020-09,Long-term migrant,Net,Female,5-9 years,-21
2001-02,2020-09,Long-term migrant,Net,Male,5-9 years,-60
2001-02,2020-09,Long-term migrant,Net,Female,50-54 years,-9
2001-02,2020-09,Long-term migrant,Net,Male,50-54 years,-12
2001-02,2020-09,Long-term migrant,Net,Female,55-59 years,-3
2001-02,2020-09,Long-term migrant,Net,Male,55-59 years,1
2001-02,2020-09,Long-term migrant,Net,Female,60-64 years,33
2001-02,2020-09,Long-term migrant,Net,Male,60-64 years,9
2001-02,2020-09,Long-term migrant,Net,Female,65-69 years,12
2001-02,2020-09,Long-term migrant,Net,Male,65-69 years,-1
2001-02,2020-09,Long-term migrant,Net,Female,70-74 years,14
2001-02,2020-09,Long-term migrant,Net,Male,70-74 years,14
2001-02,2020-09,Long-term migrant,Net,Female,75-79 years,14
2001-02,2020-09,Long-term migrant,Net,Male,75-79 years,14
2001-02,2020-09,Long-term migrant,Net,Female,80-84 years,15
2001-02,2020-09,Long-term migrant,Net,Male,80-84 years,1
2001-02,2020-09,Long-term migrant,Net,Female,85-89 years,2
2001-02,2020-09,Long-term migrant,Net,Male,85-89 years,-1
2001-02,2020-09,Long-term migrant,Net,Female,90+ years,-1
2001-02,2020-09,Long-term migrant,Net,Male,90+ years,1
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,0-4 years,552
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,10-14 years,612
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,15-19 years,1761
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,20-24 years,1704
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,25-29 years,1417
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,30-34 years,982
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,35-39 years,778
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,40-44 years,569
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,45-49 years,336
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,5-9 years,533
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,50-54 years,285
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,55-59 years,257
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,60-64 years,246
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,65-69 years,184
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,70-74 years,112
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,75-79 years,77
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,80-84 years,27
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,85-89 years,10
2001-02,2020-09,Long-term migrant,Departures,TOTAL,0-4 years,744
2001-02,2020-09,Long-term migrant,Departures,TOTAL,10-14 years,521
2001-02,2020-09,Long-term migrant,Departures,TOTAL,15-19 years,575
2001-02,2020-09,Long-term migrant,Departures,TOTAL,20-24 years,1402
2001-02,2020-09,Long-term migrant,Departures,TOTAL,25-29 years,1413
2001-02,2020-09,Long-term migrant,Departures,TOTAL,30-34 years,974
2001-02,2020-09,Long-term migrant,Departures,TOTAL,35-39 years,815
2001-02,2020-09,Long-term migrant,Departures,TOTAL,40-44 years,617
2001-02,2020-09,Long-term migrant,Departures,TOTAL,45-49 years,407
2001-02,2020-09,Long-term migrant,Departures,TOTAL,5-9 years,614
2001-02,2020-09,Long-term migrant,Departures,TOTAL,50-54 years,306
2001-02,2020-09,Long-term migrant,Departures,TOTAL,55-59 years,259
2001-02,2020-09,Long-term migrant,Departures,TOTAL,60-64 years,204
2001-02,2020-09,Long-term migrant,Departures,TOTAL,65-69 years,173
2001-02,2020-09,Long-term migrant,Departures,TOTAL,70-74 years,84
2001-02,2020-09,Long-term migrant,Departures,TOTAL,75-79 years,49
2001-02,2020-09,Long-term migrant,Departures,TOTAL,80-84 years,11
2001-02,2020-09,Long-term migrant,Departures,TOTAL,85-89 years,9
2001-02,2020-09,Long-term migrant,Net,TOTAL,0-4 years,-192
2001-02,2020-09,Long-term migrant,Net,TOTAL,10-14 years,91
2001-02,2020-09,Long-term migrant,Net,TOTAL,15-19 years,1186
2001-02,2020-09,Long-term migrant,Net,TOTAL,20-24 years,302
2001-02,2020-09,Long-term migrant,Net,TOTAL,25-29 years,4
2001-02,2020-09,Long-term migrant,Net,TOTAL,30-34 years,8
2001-02,2020-09,Long-term migrant,Net,TOTAL,35-39 years,-37
2001-02,2020-09,Long-term migrant,Net,TOTAL,40-44 years,-48
2001-02,2020-09,Long-term migrant,Net,TOTAL,45-49 years,-71
2001-02,2020-09,Long-term migrant,Net,TOTAL,5-9 years,-81
2001-02,2020-09,Long-term migrant,Net,TOTAL,50-54 years,-21
2001-02,2020-09,Long-term migrant,Net,TOTAL,55-59 years,-2
2001-02,2020-09,Long-term migrant,Net,TOTAL,60-64 years,42
2001-02,2020-09,Long-term migrant,Net,TOTAL,65-69 years,11
2001-02,2020-09,Long-term migrant,Net,TOTAL,70-74 years,28
2001-02,2020-09,Long-term migrant,Net,TOTAL,75-79 years,28
2001-02,2020-09,Long-term migrant,Net,TOTAL,80-84 years,16
2001-02,2020-09,Long-term migrant,Net,TOTAL,85-89 years,1
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,90+ years,6
2001-02,2020-09,Long-term migrant,Departures,TOTAL,90+ years,6
2001-02,2020-09,Long-term migrant,Net,TOTAL,90+ years,0
2001-02,2020-09,Long-term migrant,Arrivals,Female,TOTAL,5042
2001-02,2020-09,Long-term migrant,Arrivals,Male,TOTAL,5406
2001-02,2020-09,Long-term migrant,Departures,Female,TOTAL,4480
2001-02,2020-09,Long-term migrant,Departures,Male,TOTAL,4703
2001-02,2020-09,Long-term migrant,Net,Female,TOTAL,562
2001-02,2020-09,Long-term migrant,Net,Male,TOTAL,703
2001-02,2020-09,Long-term migrant,Arrivals,TOTAL,TOTAL,10448
2001-02,2020-09,Long-term migrant,Departures,TOTAL,TOTAL,9183
2001-02,2020-09,Long-term migrant,Net,TOTAL,TOTAL,1265
2001-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,239
2001-03,2020-09,Long-term migrant,Arrivals,Male,0-4 years,237
2001-03,2020-09,Long-term migrant,Arrivals,Female,10-14 years,226
2001-03,2020-09,Long-term migrant,Arrivals,Male,10-14 years,235
2001-03,2020-09,Long-term migrant,Arrivals,Female,15-19 years,446
2001-03,2020-09,Long-term migrant,Arrivals,Male,15-19 years,520
2001-03,2020-09,Long-term migrant,Arrivals,Female,20-24 years,549
2001-03,2020-09,Long-term migrant,Arrivals,Male,20-24 years,510
2001-03,2020-09,Long-term migrant,Arrivals,Female,25-29 years,551
2001-03,2020-09,Long-term migrant,Arrivals,Male,25-29 years,621
2001-03,2020-09,Long-term migrant,Arrivals,Female,30-34 years,449
2001-03,2020-09,Long-term migrant,Arrivals,Male,30-34 years,436
2001-03,2020-09,Long-term migrant,Arrivals,Female,35-39 years,328
2001-03,2020-09,Long-term migrant,Arrivals,Male,35-39 years,321
2001-03,2020-09,Long-term migrant,Arrivals,Female,40-44 years,202
2001-03,2020-09,Long-term migrant,Arrivals,Male,40-44 years,285
2001-03,2020-09,Long-term migrant,Arrivals,Female,45-49 years,140
2001-03,2020-09,Long-term migrant,Arrivals,Male,45-49 years,167
2001-03,2020-09,Long-term migrant,Arrivals,Female,5-9 years,214
2001-03,2020-09,Long-term migrant,Arrivals,Male,5-9 years,226
2001-03,2020-09,Long-term migrant,Arrivals,Female,50-54 years,131
2001-03,2020-09,Long-term migrant,Arrivals,Male,50-54 years,134
2001-03,2020-09,Long-term migrant,Arrivals,Female,55-59 years,108
2001-03,2020-09,Long-term migrant,Arrivals,Male,55-59 years,108
2001-03,2020-09,Long-term migrant,Arrivals,Female,60-64 years,99
2001-03,2020-09,Long-term migrant,Arrivals,Male,60-64 years,82
2001-03,2020-09,Long-term migrant,Arrivals,Female,65-69 years,67
2001-03,2020-09,Long-term migrant,Arrivals,Male,65-69 years,67
2001-03,2020-09,Long-term migrant,Arrivals,Female,70-74 years,46
2001-03,2020-09,Long-term migrant,Arrivals,Male,70-74 years,43
2001-03,2020-09,Long-term migrant,Arrivals,Female,75-79 years,23
2001-03,2020-09,Long-term migrant,Arrivals,Male,75-79 years,19
2001-03,2020-09,Long-term migrant,Arrivals,Female,80-84 years,15
2001-03,2020-09,Long-term migrant,Arrivals,Male,80-84 years,8
2001-03,2020-09,Long-term migrant,Arrivals,Female,85-89 years,9
2001-03,2020-09,Long-term migrant,Arrivals,Male,85-89 years,2
2001-03,2020-09,Long-term migrant,Arrivals,Female,90+ years,7
2001-03,2020-09,Long-term migrant,Departures,Female,0-4 years,293
2001-03,2020-09,Long-term migrant,Departures,Male,0-4 years,310
2001-03,2020-09,Long-term migrant,Departures,Female,10-14 years,120
2001-03,2020-09,Long-term migrant,Departures,Male,10-14 years,131
2001-03,2020-09,Long-term migrant,Departures,Female,15-19 years,163
2001-03,2020-09,Long-term migrant,Departures,Male,15-19 years,196
2001-03,2020-09,Long-term migrant,Departures,Female,20-24 years,772
2001-03,2020-09,Long-term migrant,Departures,Male,20-24 years,722
2001-03,2020-09,Long-term migrant,Departures,Female,25-29 years,717
